path,zone,trust_zone,purpose,authority_level,status,canonical_readiness_relevance,runtime_relevance,commercial_relevance,recommendation
.devcontainer/devcontainer.json,CANONICAL,CANONICAL,release and repo hygiene,CANONICAL_PRIMARY,ACTIVE,DIRECT,NONE,NONE,KEEP
.gitattributes,CANONICAL,CANONICAL,documentary support,CANONICAL_PRIMARY,ACTIVE,DIRECT,NONE,NONE,KEEP
.github/workflows/ci_audits_json_valid.yml,CANONICAL,CANONICAL,release and repo hygiene,CANONICAL_PRIMARY,ACTIVE,DIRECT,NONE,NONE,KEEP
.github/workflows/ci_epic15_governance.yml,CANONICAL,CANONICAL,release and repo hygiene,CANONICAL_PRIMARY,ACTIVE,DIRECT,NONE,NONE,KEEP
.github/workflows/ci_epic16_governance.yml,CANONICAL,CANONICAL,release and repo hygiene,CANONICAL_PRIMARY,ACTIVE,DIRECT,NONE,NONE,KEEP
.github/workflows/ci_fl3_merge_micro_factory.yml,CANONICAL,CANONICAL,release and repo hygiene,CANONICAL_PRIMARY,ACTIVE,DIRECT,NONE,NONE,KEEP
.github/workflows/ci_fl3_meta_eval.yml,CANONICAL,CANONICAL,release and repo hygiene,CANONICAL_PRIMARY,ACTIVE,DIRECT,NONE,NONE,KEEP
.github/workflows/ci_fl3_pr_fast.yml,CANONICAL,CANONICAL,release and repo hygiene,CANONICAL_PRIMARY,ACTIVE,DIRECT,NONE,NONE,KEEP
.github/workflows/ci_fl4_preflight.yml,CANONICAL,CANONICAL,release and repo hygiene,CANONICAL_PRIMARY,ACTIVE,DIRECT,NONE,NONE,KEEP
.github/workflows/ci_no_conflict_markers.yml,CANONICAL,CANONICAL,release and repo hygiene,CANONICAL_PRIMARY,ACTIVE,DIRECT,NONE,NONE,KEEP
.github/workflows/ci_p0_fail_closed_main.yml,CANONICAL,CANONICAL,release and repo hygiene,CANONICAL_PRIMARY,ACTIVE,DIRECT,NONE,NONE,KEEP
.github/workflows/ci_p0_warn_only_closure.yml,CANONICAL,CANONICAL,release and repo hygiene,CANONICAL_PRIMARY,ACTIVE,DIRECT,NONE,NONE,KEEP
.github/workflows/ci_truth_barrier.yml,CANONICAL,CANONICAL,release and repo hygiene,CANONICAL_PRIMARY,ACTIVE,DIRECT,NONE,NONE,KEEP
.gitignore,CANONICAL,CANONICAL,documentary support,CANONICAL_PRIMARY,ACTIVE,DIRECT,NONE,NONE,KEEP
EPOCH_CROSS.json,ARCHIVE,ARCHIVE,historical operation artifact,HISTORICAL_ONLY,HISTORICAL,NONE,NONE,NONE,ARCHIVE
EPOCH_GOV.json,ARCHIVE,ARCHIVE,historical operation artifact,HISTORICAL_ONLY,HISTORICAL,NONE,NONE,NONE,ARCHIVE
EPOCH_PARADOX.json,ARCHIVE,ARCHIVE,historical operation artifact,HISTORICAL_ONLY,HISTORICAL,NONE,NONE,NONE,ARCHIVE
KAGGLE_CELL_MRT1_FINAL.txt,ARCHIVE,ARCHIVE,historical operation artifact,HISTORICAL_ONLY,HISTORICAL,NONE,NONE,NONE,ARCHIVE
